"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"YAL041W",295.700015770104,0.145295206007836,0.195501174767752,0.743193518813589,0.45736452670342,0.628907716394698
"YAL040C",281.982611519051,0.367726595542308,0.312671032707128,1.17608143088442,0.239562337447936,0.489318816914934
"YAL039C",259.85198681834,-0.0837205423488788,0.213035097830911,-0.392989433202828,0.694327285905516,0.803077342734091
"YAL038W",4168.00976273456,0.320555689831387,0.351326981844451,0.912414093983002,0.361550772991186,0.593990140837599
"YAL037C-B",35.3216957897679,0.425712953720639,0.316251499337509,1.34612153495694,0.178263324654992,0.448712109503658
"YAL037C-A",5.43137063482501,1.32949428622417,0.742139398693143,1.79143472043839,0.0732235614191279,0.292894245676512
"YAL037W",49.944950243136,0.200320803380518,0.249088019868913,0.804216932977911,0.421271701192187,0.614480330773171
"YAL036C",404.755606701297,0.409335125525562,0.381772371686746,1.07219682691296,0.283631635330709,0.522452451557
"YAL035W",1830.6389243635,0.274424455513317,0.340839063917989,0.805143789443534,0.420736709023436,0.614480330773171
"YAL034C-B",1.12074441401843,1.31207993961378,1.639651815414,0.800218636224603,0.423584134110588,0.614480330773171
"YAL034W-A",58.7934309552693,0.0647022461642449,0.271048386913637,0.238711054144221,0.811329644557961,0.869683419772887
"YAL034C",175.486582045114,-1.44689919987622,0.500174494029357,-2.89278885098706,0.00381837898518672,0.0458205478222406
"YAL033W",113.606436862621,0.568948050300087,0.341173597301176,1.66762039853231,0.0953911062682323,0.339168377842604
"YAL032C",115.125293530523,-0.663227973168632,0.280023999517479,-2.36846832525594,0.0178619097757707,0.155885758043089
"YAL031W-A",3.88812157065969,-0.179418944935295,0.931557225984488,-0.192601098387361,0.847271384646235,0.893824757428995
"YAL031C",152.044103658591,0.114426481872984,0.219134145338256,0.522175499835296,0.601548142816934,0.738642480978771
"YAL030W",152.705382322243,-0.71667912941243,0.39647534949852,-1.80762594778949,0.0706647369569104,0.292894245676512
"YAL029C",566.794087076915,0.541593816240773,0.420309853534595,1.28855845678192,0.197551633870311,0.448712109503658
"YAL028W",45.6789044885198,-0.334066357046505,0.368819399344153,-0.905772195390353,0.365056440723108,0.593990140837599
"YAL027W",103.852779796096,-0.745054131401067,0.319705948353721,-2.3304356244781,0.0197831387519605,0.158265110015684
